github.com/AlDanial/cloc v 1.96  T=16.75 s (315.6 files/s, 121472.1 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                                     blank        comment           code
../nutanix-era-airavata/mgmt_app/test/com/nutanix/era/service/impl/EraCloudServiceImplTest.java                                                                                                                            383             30           2527
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/common/nutanix/Utils/diskupdates/DiskUpdateUtils.py                                                                                                            379            500           2466
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/service/impl/ERATimeMachineServiceImpl.java                                                                                                                           172            111           2457
../nutanix-era-airavata/setup/upgrade/scripts/workflows/EraEntity.py                                                                                                                                                       420            196           2454
../nutanix-era-airavata/ui/src/components/Modals/databases/ProvisionDB_Cluster_ServerVM.jsx                                                                                                                                 10              6           2438
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/orchestrators/provision/provision_dbserver.py                                                                                                                  429            402           2430
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/service/impl/v2/ERADatabaseServiceImpl.java                                                                                                                           283            159           2419
../nutanix-era-airavata/setup/repos_setup/repos/ERA_REPOS.sql                                                                                                                                                              289            537           2419
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/service/impl/ERASnapshotServiceImpl.java                                                                                                                              172            160           2373
../nutanix-era-airavata/ui/src/components/Modals/databases/AddDatabase.jsx                                                                                                                                                  60             16           2371
../nutanix-era-airavata/setup/era_server_setup/config/service_config/versions/era_config_1.3.1.json                                                                                                                          0              0           2330
../nutanix-era-airavata/ui/src/pages/databases/DatabaseDetail.jsx                                                                                                                                                           37             31           2329
../nutanix-era-airavata/nutest/workflows/nutanix/era/testlib/common/prism_service.py                                                                                                                                       391           1381           2324
../nutanix-era-airavata/setup/era_server_setup/config/service_config/versions/era_config_1.3.0.json                                                                                                                          0              0           2322
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/era_server/ProfileImagesOOB/ProfileImagesOOBMetadata/mongodb_oob.json                                                                                            0              0           2298
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/era_server/ProfileImagesOOB/ProfileImagesOOBMetadata/mysql_oob.json                                                                                              0              0           2298
../nutanix-era-airavata/setup/upgrade/scripts/Utils/DataMigration/oob_profiles_metadata/mariadb_oob.json                                                                                                                     0              0           2298
../nutanix-era-airavata/setup/upgrade/scripts/Utils/DataMigration/oob_profiles_metadata/mysql_oob.json                                                                                                                       0              0           2298
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/service/impl/WorkDepotServiceImpl.java                                                                                                                                219            113           2280
../nutanix-era-airavata/nutest/workflows/nutanix/era/testlib/database/postgres_database.py                                                                                                                                 368            803           2278
../nutanix-era-airavata/ui/src/constants/winTimeZones.json                                                                                                                                                                   0              0           2195
../nutanix-era-airavata/era_common/nutanix_era/common/mgmt_server/TimeMachineUtil.py                                                                                                                                       310            103           2193
../nutanix-era-airavata/ui/src/components/Modals/databases/ProvisionDb_Database.jsx                                                                                                                                         14             89           2135
../nutanix-era-airavata/nutest/testcases/era/smoke_variants/postgres/config.json                                                                                                                                             2              0           2125
../nutanix-era-airavata/nutest/workflows/workflow_clone.py                                                                                                                                                                 208            588           2124
../nutanix-era-airavata/ui/src/pages/dbServers/DbServerDetail.jsx                                                                                                                                                           54             17           2112
../nutanix-era-airavata/nutest/testcases/era/database/database_restore/remote_restore/config.json                                                                                                                           42              0           2106
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/dao/impl/postgres/OperationPostgresImpl.java                                                                                                                          146             57           2096
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/dao/impl/postgres/EraLogDrivePostgresImpl.java                                                                                                                        147             64           2091
../nutanix-era-airavata/era_cli/nutanix_era/era_cli/client/cli_framework/Entities/Dbserver.py                                                                                                                              235             34           2078
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/constants/PostgresQueries.java                                                                                                                                        732            373           2077
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/dao/impl/postgres/ERAProfilePostgresImpl.java                                                                                                                         176            262           2017
../nutanix-era-airavata/nutest/testcases/era/lcm/upgrade/compatability/test_upgrade_compatibility.py                                                                                                                       145            448           2009
../nutanix-era-airavata/tests/era_drivers/nutanix_era/era_drivers/oracle_database/unix/generic/test_input/payload_OracleProfileHandler.py                                                                                  135            182           1995
../nutanix-era-airavata/ui/locales/es.json                                                                                                                                                                                   0              0           1995
../nutanix-era-airavata/nutest/testcases/era/common_layer/custom_pd/test_custom_pd.py                                                                                                                                      233            414           1978
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/sqlserver_database/clone_utils.py                                                                                                                              316            171           1963
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/sqlserver_database/actions/common/sqlserver_adapter.py                                                                                                         321            356           1951
../nutanix-era-airavata/nutest/testcases/era/clone/mssql/config.json                                                                                                                                                         1              0           1950
../nutanix-era-airavata/nutest/workflows/nutanix/era/testlib/database/oracle/oracle_installer.py                                                                                                                           356            555           1932
../nutanix-era-airavata/mgmt_app/test/com/nutanix/era/service/impl/ERADBServerServiceImplTest.java                                                                                                                         327            129           1922
../nutanix-era-airavata/ui/src/components/Modals/databases/ProvisionDB_Cluster_DbServer.jsx                                                                                                                                 12             61           1917
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/common/nutanix/EraProvision.py                                                                                                                                 187           1690           1887
../nutanix-era-airavata/nutest/workflows/workflow_provision.py                                                                                                                                                             171            478           1884
../nutanix-era-airavata/ui/src/tools/ComponentUtil.jsx                                                                                                                                                                      70             33           1884
../nutanix-era-airavata/ui/src/pages/profiles/SoftwareProfile.jsx                                                                                                                                                           61             11           1878
../nutanix-era-airavata/ui/src/components/Modals/databases/CloneDb_Database.jsx                                                                                                                                             13              7           1871
../nutanix-era-airavata/nutest/resources/hammerdb/hammerdb_sql/mssql_schema.tcl                                                                                                                                            100              4           1861
../nutanix-era-airavata/ui/src/components/Modals/databases/ProvisionDb_DbServer.jsx                                                                                                                                         21              6           1853
../nutanix-era-airavata/era_server_cli/nutanix_era/era_server_cli/client/cli_framework/Cli/cli_config.json                                                                                                                   4              0           1839
../nutanix-era-airavata/nutest/testcases/era/database/mssql/config.json                                                                                                                                                      4              0           1823
../nutanix-era-airavata/nutest/workflows/nutanix/era/testlib/era/time_machine.py                                                                                                                                           228            858           1815
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/service/impl/HostServiceImpl.java                                                                                                                                     178            112           1794
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/driver_cli/async_driver_cli.py                                                                                                                                 224            138           1788
../nutanix-era-airavata/mgmt_app/test/resources/ha/haConfig_haEnabled.json                                                                                                                                                   0              0           1786
../nutanix-era-airavata/ui/src/components/Modals/clusters/RegisterCluster.jsx                                                                                                                                               43              9           1782
../nutanix-era-airavata/era_common/nutanix_era/common/ntnx/VirtualMachineUtil.py                                                                                                                                           209            117           1776
../nutanix-era-airavata/era_cli/nutanix_era/era_cli/client/cli_framework/Entities/Clone.py                                                                                                                                 196             42           1768
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/controllers/entities/v2/ERACloneNewController.java                                                                                                                     67             39           1760
../nutanix-era-airavata/ui/src/components/Modals/dbservers/CreateDbServer.jsx                                                                                                                                               44             45           1760
../nutanix-era-airavata/tests/era_drivers/nutanix_era/era_drivers/postgres_database/unix/generic/actions/register_postgres_database/bin/test_discover_database.py                                                          422             10           1751
../nutanix-era-airavata/nutest/workflows/nutanix/era/testlib/era/era_service_api.py                                                                                                                                        287           1490           1744
../nutanix-era-airavata/nutest/testcases/era/clone/mssql/test_clone_create_false_mssql.py                                                                                                                                  112            576           1702
../nutanix-era-airavata/era_cli/nutanix_era/era_cli/client/cli_framework/Entities/DatabaseGroup.py                                                                                                                         226             30           1700
../nutanix-era-airavata/ui/src/components/Modals/databases/ProvisionDB_Cluster.jsx                                                                                                                                           9             54           1696
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/service/impl/v2/ERACloneServiceImpl.java                                                                                                                              137             43           1692
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/postgres_database/unix/generic/actions/provision_postgres_database/main.yml                                                                                    377             97           1688
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/utils/generic/GenericUtils.java                                                                                                                                       149             96           1675
../nutanix-era-airavata/nutest/testcases/era/database/oracle/patch/test_oracle_patch.py                                                                                                                                     82            142           1670
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/oracle_database/unix/generic/actions/patch_oracle_database/roles/prepare_oracle_database/tasks/main.yml                                                        241             31           1663
../nutanix-era-airavata/nutest/testcases/era/database_group/config.json                                                                                                                                                     22              0           1661
../nutanix-era-airavata/ui/src/components/timemachines/TimeMachineCalendar.jsx                                                                                                                                              60             71           1652
../nutanix-era-airavata/nutest/testcases/era/clustered_time_machine/test_clustered_time_machine.py                                                                                                                          28            159           1638
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/common/era/ClusteredTimeMachine/ERADbServer.py                                                                                                                 170            254           1630
../nutanix-era-airavata/ui/src/pages/databases/DatabaseList.jsx                                                                                                                                                             44             21           1630
../nutanix-era-airavata/nutest/testcases/era/os_patching/test_ndb_os_patching.py                                                                                                                                           106            277           1623
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/dto/task/database/DbProvisionTaskInfoDTO.java                                                                                                                         187            135           1617
../nutanix-era-airavata/nutest/testcases/era/provisioning/mssql/config.json                                                                                                                                                  2              0           1615
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/service/impl/ERAApplicationServiceImpl.java                                                                                                                           130             71           1581
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/oracle_database/unix/generic/actions/register_oracle_database/bin/discover_database.py                                                                         229            191           1577
../nutanix-era-airavata/tests/era_drivers/nutanix_era/era_drivers/oracle_database/unix/generic/test_input/payload_OracleDriverOperation.py                                                                                 262             18           1555
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/dao/impl/postgres/v2/ERADBServerPostgresImpl.java                                                                                                                     134             58           1548
../nutanix-era-airavata/era_cli/nutanix_era/era_cli/client/cli_framework/Entities/DbserverCluster.py                                                                                                                       172             37           1543
../nutanix-era-airavata/setup/era_server_setup/config/op_exec_cfg.json                                                                                                                                                       0              0           1540
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/dao/impl/postgres/EraResourcesPostgresImpl.java                                                                                                                       131            197           1539
../nutanix-era-airavata/ui/README_DEV.md                                                                                                                                                                                   693              0           1536
../nutanix-era-airavata/setup/upgrade/scripts/Utils/DataMigration/migrator_1_3/DataMigrator.py                                                                                                                             142             81           1533
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/dao/impl/postgres/GenericPostgresImpl.java                                                                                                                            117             80           1529
../nutanix-era-airavata/mgmt_app/test/com/nutanix/era/service/impl/ERAAccessPolicyServiceImplTest.java                                                                                                                     275             28           1518
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/controllers/entities/v2/ERAProfileController.java                                                                                                                     130            241           1514
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/service/impl/ERACloudServiceImpl.java                                                                                                                                 203            107           1504
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/dto/task/database/DatabaseTaskInfoDTO.java                                                                                                                            188            127           1494
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/config/EraConfig.java                                                                                                                                                 144            124           1491
../nutanix-era-airavata/ui/src/components/Modals/dbservers/CreateDbServer_Cluster.jsx                                                                                                                                       18             31           1490
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/mysql_database/unix/generic/MySQLDriverOperation.py                                                                                                            335            868           1468
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/orchestrators/register_application/agent/registration_agent.py                                                                                                 265            309           1464
../nutanix-era-airavata/nutest/workflows/workflow_powerbroker.py                                                                                                                                                           119            544           1464
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/common/nutanix/EraProvisionVM.py                                                                                                                               226            126           1461
../nutanix-era-airavata/era_cli/nutanix_era/era_cli/client/cli_framework/Entities/CloneGroup.py                                                                                                                            163             36           1459
../nutanix-era-airavata/ui/src/components/Modals/databases/RestoreDatabase.jsx                                                                                                                                              72             51           1453
